Roll number,Attendance Percentage
238x1a4401,44
238x1a4402,79
238x1a4403,61
238x1a4404,69
238x1a4405,59
238x1a4407,74
238x1a4408,71
238x1a4409,78
238x1a4410,65
238x1a4411,68
238x1a4412,69
238x1a4413,82
238x1a4414,28
238x1a4415,39
238x1a4416,77
238x1a4417,52
238x1a4418,63
238x1a4419,67
238x1a4420,72
238x1a4421,55
238x1a4422,63
238x1a4423,80
238x1a4424,78
238x1a4425,80
238x1a4426,77
238x1a4427,61
238x1a4428,54
238x1a4429,61
238x1a4430,66
238x1a4431,67
238x1a4432,53
238x1a4433,77
238x1a4434,57
238x1a4435,70
238x1a4437,73
238x1a4438,82
238x1a4439,78
238x1a4440,73
238x1a4441,76
238x1a4442,81
238x1a4443,73
238x1a4444,72
238x1a4445,79
238x1a4446,74
238x1a4447,81
238x1a4449,68
238x1a4450,77
238x1a4451,78
238x1a4452,54
238x1a4453,64
238x1a4454,74
238x1a4456,71
238x1a4457,45
238x1a4458,64
238x1a4459,59
238x1a4460,76
238x1a4461,66
238x1a4462,79
218x1a4454,44
