Roll number,M1,Introduction to programming,Chemistry,Communicative English,Engineering graphics,IP Lab,IT workshop,CE Lab,Chemistry lab,HWYS,Total Points
238x1a4401,0,0,0,6,0,7,8,8,8,10,2.71
238x1a4402,0,7,5,9,5,9,9,10,8,10,6.03
238x1a4403,7,7,9,9,8,10,10,10,10,10,8.47
238x1a4404,6,6,9,10,7,10,10,10,10,10,8.11
238x1a4405,0,5,0,8,5,9,7,9,8,10,4.66
238x1a4407,0,5,6,9,5,9,8,10,9,10,5.87
238x1a4408,7,8,7,9,8,10,10,10,9,10,8.26
238x1a4409,6,8,8,9,6,9,10,10,10,10,7.92
238x1a4410,0,7,6,8,6,8,10,9,9,9,6.18
238x1a4411,7,7,5,8,6,10,10,10,9,10,7.37
238x1a4412,5,0,0,8,0,9,8,9,9,9,3.95
238x1a4413,6,10,7,9,7,10,10,10,10,10,8.32
238x1a4414,0,6,0,7,0,8,7,8,7,10,3.74
238x1a4415,0,0,0,6,0,8,8,8,7,10,2.74
238x1a4416,0,6,6,9,5,10,9,10,9,10,6.16
238x1a4417,0,5,0,8,0,9,8,8,8,10,3.87
238x1a4418,0,5,5,8,5,8,8,8,9,9,5.39
238x1a4419,6,6,5,9,6,10,10,9,10,10,7.16
238x1a4420,5,0,0,8,5,9,7,9,9,10,4.71
238x1a4421,5,6,6,8,6,9,7,8,9,10,6.71
238x1a4422,7,6,7,8,7,10,10,9,10,10,7.58
238x1a4423,8,8,7,10,7,10,10,10,10,10,8.42
238x1a4424,6,6,8,8,5,8,10,8,9,10,7.11
238x1a4425,8,7,7,8,7,10,9,9,9,10,7.89
238x1a4426,8,6,7,7,7,9,9,9,10,10,7.61
238x1a4427,6,7,6,7,6,10,10,8,10,9,7.18
238x1a4428,5,0,0,6,0,7,7,7,7,9,3.32
238x1a4429,0,5,5,6,5,8,8,8,8,9,5.13
238x1a4430,0,5,0,7,6,9,8,9,9,10,4.82
238x1a4431,0,0,0,7,0,8,10,10,9,9,3.13
238x1a4432,0,0,0,6,0,9,8,8,9,9,2.79
238x1a4433,6,8,6,9,6,9,9,10,7,9,7.47
238x1a4434,5,6,5,8,6,9,9,7,9,9,6.58
238x1a4435,0,0,0,8,0,9,8,8,9,9,3
238x1a4436,7,6,5,7,0,8,9,7,7,10,5.79
238x1a4437,6,0,0,7,5,10,9,8,9,10,4.89
238x1a4438,0,5,5,7,6,9,9,9,9,9,5.63
238x1a4439,7,8,8,9,7,10,9,10,10,10,8.26
238x1a4440,5,6,5,8,5,9,10,8,9,10,6.55
238x1a4441,6,7,6,9,5,10,10,10,10,10,7.37
238x1a4442,0,0,0,6,0,9,8,7,7,10,2.76
238x1a4443,8,9,8,9,7,10,9,9,10,10,8.53
238x1a4444,5,5,6,9,6,10,8,10,9,10,6.89
238x1a4445,5,8,6,8,6,10,9,10,9,10,7.32
238x1a4446,7,5,6,9,0,9,10,9,9,10,6.24
238x1a4447,0,5,5,8,0,9,8,9,8,10,4.71
238x1a4449,5,5,5,9,5,9,10,9,9,10,6.55
238x1a4450,0,6,5,9,6,9,9,9,9,10,6.03
238x1a4451,5,5,0,2,6,10,9,8,9,10,5.68
238x1a4452,0,5,0,8,6,9,9,9,9,9,4.95
238x1a4453,0,5,0,5,0,9,9,8,8,9,3.58
238x1a4454,0,6,0,6,0,9,8,8,9,10,3.87
238x1a4456,0,5,0,8,0,10,9,10,9,10,4.16
238x1a4457,0,0,0,5,0,7,9,7,8,10,2.61
238x1a4458,0,0,0,5,0,9,9,7,7,9,2.68
238x1a4459,5,7,5,7,5,10,10,9,9,9,6.71
238x1a4460,7,7,8,8,7,10,10,10,10,9,8.03
238x1a4461,0,0,0,6,0,9,7,7,8,9,2.74
238x1a4462,6,0,5,7,5,9,8,7,8,10,5.45
